Domain,URL Count,Avg Confidence,Analysis Methods,Top Reasons,Status
www.seourldirectory.com,1,85.00,unknown,"The content provided lists several domains, among ...",FLAGGED
www.businesslinksdirectory.com,1,85.00,unknown,admiralmarkets.com. While the actual content of ad...,FLAGGED
www.x.nom.co,1,85.00,unknown,The content from the URL provided lists various we...,FLAGGED
cryptobrokers-reviews.com,1,85.00,unknown,The content provided raises several red flags typi...,FLAGGED
globalbrokerguide.com,1,85.00,unknown,The content provided raises several red flags typi...,FLAGGED
www.acenet.nl,1,90.00,unknown,"The content suggests the use of an ""AI Auto-Tradin...",FLAGGED
egnatia.ca,1,85.00,unknown,The content provided includes a URL that appears t...,FLAGGED
www.progettoriccanza.com,1,85.00,unknown,The content provided from the URL includes a suspi...,FLAGGED
www.paidrebate.com,1,90.00,unknown,The content provided suggests potential compliance...,FLAGGED
easydyor.com,1,85.00,unknown,The content provided on the URL seems to promote c...,FLAGGED
forexzr.com,1,85.00,unknown,The content provided from the URL includes a suspi...,FLAGGED
reviewsanfx.com,1,90.00,unknown,The content includes a potentially misleading or a...,FLAGGED
staging.sellingonlinecoursesguide.com,1,85.00,unknown,"The content includes a link to a trading platform,...",FLAGGED
brokerplatformratings.com,1,85.00,unknown,The content provided raises several compliance con...,FLAGGED
globalbrokerrankings.com,1,85.00,unknown,The content provided raises several compliance con...,FLAGGED
exchangebrokerguide.com,1,85.00,unknown,The content provided raises several compliance con...,FLAGGED
www.micheledalessandro.it,1,85.00,unknown,The content on the provided URL raises several red...,FLAGGED
midlifemusings.net,1,95.00,unknown,"The content indicates that the trading robot, refe...",FLAGGED
www.investingfield.com,1,90.00,unknown,"// admiralmarkets .com/), is suspicious and could ...",FLAGGED
traderinarabic.com,1,85.00,unknown,The content provided from the URL includes a link ...,FLAGGED
martinharris.typepad.com,1,90.00,unknown,The content provided includes multiple external li...,FLAGGED
forextradingsolutions.info,1,90.00,unknown,The content provided includes a direct link that a...,FLAGGED
brokerexpertreviews.com,1,90.00,unknown,The content provided includes a direct call to act...,FLAGGED
tradeurs.blogspot.com,1,85.00,unknown,The content on the provided URL includes a potenti...,FLAGGED
secret-news.ru,1,85.00,unknown,The content includes a link to a financial company...,FLAGGED
ufabetth88.com,1,90.00,unknown,The content promotes a gambling website with a min...,FLAGGED
estarfit.juanrojasonline.com,1,85.00,unknown,"The content suggests a partnership with a broker, ...",FLAGGED
web3blog.top,1,85.00,unknown,"The content promotes Admiral Markets, which offers...",FLAGGED
3dogtech.com,1,90.00,unknown,The content on the provided URL raises several red...,FLAGGED
ofertasdeempleo.us,1,85.00,unknown,The content provided from the URL appears to be of...,FLAGGED
allforexrating.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
trading-smart.de,1,0.76,fallback,FALLBACK: Found 2 high-severity compliance issues ...,FLAGGED
aq0.co.uk,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
test-e086dc4b.example.com,1,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,FLAGGED
test-misleading-info-76b7a4d7.example.com,1,0.90,real_llm,The content contains misleading information about ...,FLAGGED
test-negative-review-89994f05.example.com,1,1.00,real_llm,The content is a negative review of Admiral Market...,FLAGGED
test-misleading-info-feb300ad.example.com,1,1.00,real_llm,"The content contains misleading information, speci...",FLAGGED
mtcap.com.br,1,0.60,real_llm,The content appears to be promoting SEO services a...,FLAGGED
shoproyal.ro,1,0.50,real_llm,The content appears to be a brief description of A...,FLAGGED
tourchinatravel.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
partaiummat.id,1,0.50,real_llm,The content appears to be a brief mention of Admir...,FLAGGED
dobradeirasfachini.com.br,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
royaltaj.com.au,1,0.60,real_llm,The content mentions Admiral Markets in a comparat...,FLAGGED
torodemotrading.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
starkingpropiedades.cl,1,0.60,real_llm,The content appears to be promoting SEO services a...,FLAGGED
alzhacker.com,1,0.60,real_llm,The content appears to be discussing financial der...,FLAGGED
network-ns.com,1,0.60,real_llm,The content appears to be a review of various Fore...,FLAGGED
immobiliareenpavre.it,1,0.60,real_llm,"The content appears to be a review of FreshForex, ...",FLAGGED
sihatsemulajadi.com,1,0.60,real_llm,"The content mentions Admiral Markets, but in a neu...",FLAGGED
groupfrog.com,1,0.60,real_llm,The content appears to be a referral or affiliate ...,FLAGGED
klimat.cz,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
forex-pak.com,1,0.60,real_llm,The content does not directly mention Admiral Mark...,FLAGGED
forum.fxopenaffiliate.com,1,0.60,real_llm,The content appears to be a forum discussion about...,FLAGGED
flagedu.com,1,0.60,real_llm,The content mentions Admiral Markets as a 'وسيط مو...,FLAGGED
ninjafx.site,1,0.90,real_llm,The website appears to be promoting an unauthorize...,FLAGGED
mehandis.net,1,0.60,real_llm,The content appears to be related to arbitrage and...,FLAGGED
seo.mln.lt,1,0.60,real_llm,The content appears to be from a website that is n...,FLAGGED
investicii-otziv.ru,1,0.90,real_llm,The content appears to be a review of Admiral Mark...,FLAGGED
aigica.pics,1,0.60,real_llm,The content appears to be a collection of unrelate...,FLAGGED
parklanecommercial.com,1,0.50,real_llm,The content appears to be unrelated to Admiral Mar...,FLAGGED
blog.looglebiz.com,1,1.00,real_llm,The content appears to be a list of online brokers...,FLAGGED
deforum.ru,1,0.50,real_llm,"The content mentions Admiral Markets, but in a con...",FLAGGED
upvu.org,1,0.60,real_llm,The content mentions Admiral Markets in a context ...,FLAGGED
vaidrubal.com,1,0.50,real_llm,"The webpage appears to be a comparison of brokers,...",FLAGGED
shemezaclouds.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
domenas.eu,1,0.80,real_llm,The content appears to be a domain registration or...,FLAGGED
satkhiraservice.com,1,0.50,real_llm,"The webpage is not accessible, and the context sur...",FLAGGED
rannforex.com,1,0.60,real_llm,The website mentions Admiral Markets as a partner ...,FLAGGED
forexdailyinfo.com,1,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,FLAGGED
gcoption.com,1,0.60,real_llm,The content does not appear to have any direct men...,FLAGGED
businesnewswire.com,1,0.90,real_llm,The content appears to be a legitimate article abo...,FLAGGED
fx-arabia.com,1,0.80,real_llm,The content appears to be a forum discussion in Ar...,FLAGGED
naturlich-investieren.koalahilfe.de,1,0.60,real_llm,The content appears to be a collection of links to...,FLAGGED
forexksa.com,1,0.90,real_llm,The content appears to be an educational article a...,FLAGGED
forexprofitway.com,1,0.90,real_llm,The website promotes and sells Forex trading syste...,FLAGGED
zayedr.best,1,0.80,real_llm,The webpage appears to be discussing tax implicati...,FLAGGED
ejobscircular.com,1,0.60,real_llm,The webpage appears to be a collection of login li...,FLAGGED
desibuzzcanada.com,1,0.60,real_llm,The content does not appear to have any obvious co...,FLAGGED
freesubmissionlinks.com,1,0.90,real_llm,The content appears to be promoting Judi Slot Onli...,FLAGGED
dubaiforums.com,1,0.90,real_llm,The content appears to be a neutral mention of Adm...,FLAGGED
haoib.com,1,0.60,real_llm,The content appears to be a list of various forex ...,FLAGGED
aboutcurrency.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
jazminsbeautysalon.be,1,0.60,real_llm,The content appears to be a review or rating of Fo...,FLAGGED
guide.phonezone.ru,1,0.60,real_llm,The content appears to be informational about Admi...,FLAGGED
xosignals.com,1,0.90,real_llm,The content appears to be a neutral review of Admi...,FLAGGED
super-parrain.com,1,0.70,real_llm,The content appears to be promoting a referral pro...,FLAGGED
trade-leader.ru,1,0.90,real_llm,The website provides general information about Adm...,FLAGGED
umis.voronezh7.ru,1,0.70,real_llm,The content mentions a partnership between UMIS an...,FLAGGED
murahkitchen.my,1,0.90,real_llm,The content appears to be promoting link building ...,FLAGGED
elmobbing.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
nz-lotto.com,1,1.00,real_llm,"The website contains misleading information, unaut...",FLAGGED
gold.forum,1,0.70,real_llm,The content appears to be a forum post with a ment...,FLAGGED
enqueinvertir.cl,1,0.90,real_llm,The content appears to be a legitimate educational...,FLAGGED
admiralmarkets.cc,1,0.50,real_llm,The webpage appears to be an error page with no su...,FLAGGED
carpetcleaninginsanclemente.com,1,0.60,real_llm,The content appears to be a review of a Forex brok...,FLAGGED
ukraine-today.net,1,0.60,real_llm,The content appears to be a directory listing with...,FLAGGED
ablahrealestate.co.ke,1,0.70,real_llm,The webpage appears to be discussing mobile termin...,FLAGGED
foros.areadepymes.com,1,0.60,real_llm,The content appears to be a forum discussion from ...,FLAGGED
portail-economie.com,1,0.60,real_llm,The content appears to be a general guide for choo...,FLAGGED
easytradeweb.com,1,0.60,real_llm,The content appears to be discussing Forex trading...,FLAGGED
88news.de,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
loginpu.com,1,0.50,real_llm,The webpage appears to be an error page with no re...,FLAGGED
gtmarine.ru,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
fxverify.com,1,1.00,real_llm,The website appears to provide genuine information...,FLAGGED
fil.fxverify.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
simpozijumdijabetes2017.domzdravljadoboj.ba,1,0.60,real_llm,The content appears to be unrelated to Admiral Mar...,FLAGGED
pl.fxverify.com,1,0.90,real_llm,The website provides a review of Admirals (Admiral...,FLAGGED
th.fxverify.com,1,1.00,real_llm,The website provides a review of Admirals (Admiral...,FLAGGED
ko.fxverify.com,1,1.00,real_llm,The website provides a review of Admirals (Admiral...,FLAGGED
ro.fxverify.com,1,1.00,real_llm,The website provides a review of Admirals (Admiral...,FLAGGED
id.fxverify.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
fiombi.com,1,0.60,real_llm,The content does not appear to have any overtly mi...,FLAGGED
hr.fxverify.com,1,0.90,real_llm,The content appears to be a review of Admirals (Ad...,FLAGGED
hu.fxverify.com,1,0.90,real_llm,The content appears to be a review of Admirals (Ad...,FLAGGED
cs.fxverify.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
nidisc.pics,1,0.70,real_llm,The content appears to be a webpage with a HTTP er...,FLAGGED
gagan.tokyo,1,0.60,real_llm,The content appears to be unrelated to Admiral Mar...,FLAGGED
startupwebsolutions.com.au,1,0.70,real_llm,The content appears to be promoting Forex trading ...,FLAGGED
more-space.org,1,0.60,real_llm,"The content mentions Admiral Markets, but in a con...",FLAGGED
bestforexbonus.com,1,0.70,real_llm,The website appears to be discussing a no-deposit ...,FLAGGED
fresh.org.ua,1,0.60,real_llm,The content appears to be a general article about ...,FLAGGED
vi.fxverify.com,1,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,FLAGGED
nkidfamily.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
tr.fxverify.com,1,0.90,real_llm,The content appears to be a review of Admirals (Ad...,FLAGGED
keywordssuggestion.com,1,0.50,real_llm,The content appears to be a generic webpage with a...,FLAGGED
el.fxverify.com,1,0.90,real_llm,The website provides a review of Admirals (Admiral...,FLAGGED
caribe.obsidiam.com,1,0.70,real_llm,The webpage appears to be an educational resource ...,FLAGGED
woestigspul.nl,1,0.70,real_llm,The webpage appears to be in Dutch and mentions jo...,FLAGGED
ciudadmexico.obsidiam.com,1,0.60,real_llm,The content does not explicitly mention Admiral Ma...,FLAGGED
smallgames.ws,1,0.50,real_llm,The content does not appear to be directly related...,FLAGGED
arctic.tobibas.com,1,0.90,real_llm,The content appears to be a discussion about the W...,FLAGGED
panama.obsidiam.com,1,0.70,real_llm,The webpage appears to be an educational resource ...,FLAGGED
mexico.obsidiam.com,1,0.70,real_llm,The content appears to be an educational guide for...,FLAGGED
arabinvest.net,1,0.90,real_llm,The content appears to be a warning about fraudule...,FLAGGED
njtechus.com,1,0.60,real_llm,The content provides general information about for...,FLAGGED
loginhs.com,1,0.60,real_llm,The content appears to be a collection of links an...,FLAGGED
pt.fxverify.com,1,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,FLAGGED
urlm.co.uk,1,0.60,real_llm,The website appears to be a directory or affiliate...,FLAGGED
bolivia.obsidiam.com,1,0.70,real_llm,The webpage appears to be an educational resource ...,FLAGGED
fa.fxverify.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
worldmaster.pl,1,0.70,real_llm,The content mentions Admiral Markets/Admiral Marke...,FLAGGED
testimony.wny-acupuncture.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
binarias.org,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
australia-lotto.com,1,0.90,real_llm,The content appears to be promoting Admiral Market...,FLAGGED
ufabet88.vip,1,1.00,real_llm,The webpage appears to be promoting an unauthorize...,FLAGGED
lomout.best,1,0.60,real_llm,The content appears to be a Polish-language articl...,FLAGGED
outdooreye.net,1,0.60,real_llm,"The content mentions Admiral Markets, but does not...",FLAGGED
forexvua.com,1,0.60,real_llm,The content appears to be a parked domain page wit...,FLAGGED
jybaguazhang.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
traderstat.com,1,0.60,real_llm,The content appears to be a list of brokers with a...,FLAGGED
epsime.pics,1,0.60,real_llm,"The content mentions Admiral Markets, but does not...",FLAGGED
brokervergleich.net,1,0.60,real_llm,"The content appears to be a review of RoboForex, a...",FLAGGED
bankclip.com,1,0.60,real_llm,The content mentions Admiral Markets and provides ...,FLAGGED
sciresearchinstitute.com,1,0.70,real_llm,The content appears to be a brief mention of a web...,FLAGGED
traderider.com,1,0.60,real_llm,The website appears to be a forum or discussion bo...,FLAGGED
customercarecentres.com,1,0.60,real_llm,The webpage provides contact information for Admir...,FLAGGED
nuns.com.ua,1,0.70,real_llm,The content appears to be a promotional article ab...,FLAGGED
forexrating.com,1,0.70,fallback,FALLBACK: No significant compliance issues detecte...,FLAGGED
inspiration4generations.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
admiral.rusmarket.com,1,0.80,real_llm,The website appears to be inaccessible or contains...,FLAGGED
wpdemo.protectremote.com,1,0.60,real_llm,The content appears to be promoting SEO services a...,FLAGGED
loginra.com,1,0.60,real_llm,The webpage appears to be providing information ab...,FLAGGED
vnrebates.io,1,0.76,fallback,FALLBACK: Found 2 high-severity compliance issues ...,FLAGGED
webbulls.us,1,0.60,real_llm,The content appears to be unrelated to Admiral Mar...,FLAGGED
fabmagazine.nl,1,0.60,real_llm,The content mentions Admiral Markets in the contex...,FLAGGED
worldnewstrust.com,1,0.60,real_llm,The content appears to be discussing financial der...,FLAGGED
login-faq.com,1,0.50,real_llm,The webpage appears to be an error page with a fai...,FLAGGED
vurroconcerti.it,1,0.60,real_llm,The content mentions Admiral Markets and provides ...,FLAGGED
financeworld.io,1,0.60,real_llm,The webpage appears to be a 404 error page with a ...,FLAGGED
match-prime.com,1,1.00,real_llm,The content accurately represents Admiral Markets ...,FLAGGED
canadahun.com,1,0.60,real_llm,The content appears to be a forum discussion about...,FLAGGED
maximoavance.com,1,0.60,real_llm,The content appears to be educational and informat...,FLAGGED
gleent.best,1,0.60,real_llm,The content does not directly mention Admiral Mark...,FLAGGED
trademaster9.com,1,0.60,real_llm,The content appears to be a broker comparison webs...,FLAGGED
myworthweb.com,1,0.60,real_llm,The content appears to be a website valuation tool...,FLAGGED
euroavista.pl,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
astralsilencio.com,1,0.60,real_llm,The content appears to be related to registering a...,FLAGGED
clasificados.ancashnoticias.com,1,0.60,real_llm,The content appears to be promoting SEO services a...,FLAGGED
empire777casino.com,1,0.90,real_llm,The website appears to be a casino website and is ...,FLAGGED
loginma.com,1,0.60,real_llm,The website appears to provide links to Admiral Ma...,FLAGGED
cosaslegales.es,1,0.60,real_llm,The content mentions Admiral Markets in a generall...,FLAGGED
loginslink.com,1,0.60,real_llm,The content appears to be related to Admiral Direk...,FLAGGED
azeshop.com.ar,1,0.60,real_llm,The content appears to be a blog post about online...,FLAGGED
tradetheday.com,1,0.60,real_llm,The content appears to be a broker review page tha...,FLAGGED
secretariaacademica.colegioandresbello.cl,1,0.50,real_llm,The webpage appears to be error-prone and does not...,FLAGGED
rhyderpromotions.com.au,1,0.60,real_llm,The website mentions Admiral Markets in a list of ...,FLAGGED
loginurlink.com,1,0.50,real_llm,The webpage appears to be a login page for Admiral...,FLAGGED
benjamin-lemaire.info,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
flc-auto.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
credito.com.mx,1,0.60,real_llm,The content mentions Admiral Markets/Admiral Marke...,FLAGGED
transparencia.sanadrian.es,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
adiosatujefe.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
tecnicasdetrading.com,1,0.50,real_llm,The website provides educational content and revie...,FLAGGED
suggestionquestion.com,1,0.90,real_llm,The website appears to be a suspicious page with a...,FLAGGED
forexbroker.ng,1,0.79,fallback,FALLBACK: Found 3 high-severity compliance issues ...,FLAGGED
proseolinksdirectory.com,1,0.60,real_llm,The content appears to be a list of websites with ...,FLAGGED
mrfinance.ro,1,0.80,real_llm,The content appears to be a review of Admiral Mark...,FLAGGED
news22.ru,1,0.60,real_llm,The content appears to be a news article discussin...,FLAGGED
firm.bg,1,0.60,real_llm,The content appears to be a listing for Admiral Ma...,FLAGGED
alt21.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
leonoc.best,1,0.60,real_llm,The content appears to be discussing typical Forex...,FLAGGED
en.itigtrader.com,1,0.90,real_llm,The content does not contain any serious complianc...,FLAGGED
pravda-sotrudnikov.org,1,0.60,real_llm,The content appears to be a review of Admiral Mark...,FLAGGED
mdctradingacademy.com,1,0.60,real_llm,The content mentions Admiral Markets and links to ...,FLAGGED
seero.org,1,0.60,real_llm,The content appears to be discussing cryptocurrenc...,FLAGGED
sarahanews.net,1,0.60,real_llm,The content mentions Admiral Markets in the contex...,FLAGGED
bitcoinsaltcoins.nl,1,0.50,real_llm,"The webpage returned a 404 error, making it imposs...",FLAGGED
itigtrader.com,1,1.00,real_llm,The website mentions Admiral Markets as a reputabl...,FLAGGED
ecomedic.vn,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
linkdofollow.com,1,0.60,real_llm,The content appears to be related to a forex tradi...,FLAGGED
e.vg,1,0.60,real_llm,The content appears to be a shortened link with a ...,FLAGGED
chord.pub,1,0.70,real_llm,The content appears to be discussing various forex...,FLAGGED
vn1238.vps-server.ru,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
kuponation.com,1,0.60,real_llm,The content mentions Admiral Markets as a well-reg...,FLAGGED
lowcarbguy.com,1,0.60,real_llm,The content appears to be a Russian-language revie...,FLAGGED
noussommeshertz.com,1,0.60,real_llm,"The content mentions Admiral Markets, but does not...",FLAGGED
kmartin.portfolial.com,1,0.80,real_llm,The content appears to be related to Admiral Marke...,FLAGGED
dostajebilo.rs,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
101toxicfoodingredients.com,1,0.90,real_llm,The webpage appears to be unrelated to Admiral Mar...,FLAGGED
hatinh.forum-viet.com,1,0.60,real_llm,The content appears to be unrelated to Admiral Mar...,FLAGGED
thegeeklyfe.com,1,0.70,real_llm,The content mentions Admiral Markets and discusses...,FLAGGED
rusarticles.com,1,0.60,real_llm,The content provides general information about For...,FLAGGED
caethe.best,1,0.60,real_llm,The content does not directly mention Admiral Mark...,FLAGGED
invest-rating.ru,1,0.50,real_llm,The content appears to be a Russian-language finan...,FLAGGED
traderbobo.com,1,0.60,real_llm,The website appears to be an educational platform ...,FLAGGED
forum.dasarforex.com,1,0.60,real_llm,The content appears to be a forum discussion about...,FLAGGED
arabnet5.com,1,0.60,real_llm,The content appears to be a directory listing for ...,FLAGGED
aussenden.com,1,0.65,fallback,FALLBACK: Found potential compliance issues (1 hig...,FLAGGED
hellosafe.com.br,1,0.70,real_llm,The content mentions Admiral Markets/Admiral Marke...,FLAGGED
link-de.com,1,0.60,real_llm,The content appears to be a linking page with mini...,FLAGGED
damachills.sales-office.ae,1,0.70,real_llm,The webpage appears to be discussing Forex liquidi...,FLAGGED
finances.com,1,0.70,real_llm,The content appears to be promoting Admiral Market...,FLAGGED
prolinksdirectory.com,1,0.70,real_llm,"The content appears to be a list of websites, some...",FLAGGED
askpaccosi.com,1,0.60,real_llm,The content appears to be a review of Admiral Mark...,FLAGGED
medicareplus.com.ph,1,0.90,real_llm,The content appears to be promoting links to vario...,FLAGGED
comologia.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
bloginvest.ro,1,0.80,real_llm,The content appears to be promoting a contest with...,FLAGGED
royallamertahotel.com,1,0.60,real_llm,The content appears to be discussing Forex trading...,FLAGGED
choq.fm,1,0.60,real_llm,The content mentions Admiral Markets/Admiral Marke...,FLAGGED
cryptounit.com,1,0.60,real_llm,The content appears to be a review of Admiral Mark...,FLAGGED
bestappsfinder.com,1,0.70,real_llm,The content was not directly accessible for analys...,FLAGGED
school1274.ru,1,0.60,real_llm,The content appears to be a Russian-language revie...,FLAGGED
collegelearners.com,1,0.50,real_llm,The webpage appears to be promoting a Forex tradin...,FLAGGED
fxranking.com,1,1.00,real_llm,The content from the website https://www.fxranking...,FLAGGED
yumreza.info,1,0.60,real_llm,The webpage appears to be a directory of financial...,FLAGGED
naturlich-investieren.sellerconnect.de,1,0.60,real_llm,The content appears to be a list of search results...,FLAGGED
ansito.pics,1,0.60,real_llm,The content appears to be a webpage with a technic...,FLAGGED
marktmeinungmensch.de,1,0.60,real_llm,The content mentions Admiral Markets/Admiral Marke...,FLAGGED
gotradehere.com,1,0.60,real_llm,The content appears to be a Thai-language website ...,FLAGGED
gorodkiev.com.ua,1,0.60,real_llm,The content appears to be a general article about ...,FLAGGED
forextradingbonus.com,1,0.60,real_llm,The content mentions Admiral Markets' Personal Off...,FLAGGED
bursagi.com,1,0.60,real_llm,The content appears to be a review or rating page ...,FLAGGED
24horasqroo.mx,1,0.60,real_llm,The content mentions Admiral Markets in the contex...,FLAGGED
christian-dating-match.com,1,0.60,real_llm,The content appears to be promoting Larson & Holz ...,FLAGGED
misto.ridne.net,1,0.60,real_llm,The content does not directly mention Admiral Mark...,FLAGGED
searchengines.bg,1,0.50,real_llm,The content is limited and does not provide enough...,FLAGGED
dumpsterdivingceo.com,1,0.60,real_llm,The content appears to be unrelated to Admiral Mar...,FLAGGED
tradeforexsa.co.za,1,0.90,real_llm,The content appears to be a directory of Forex bro...,FLAGGED
helptomakemoney.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
businesstraveller.pl,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
ecole-forex.fr,1,0.80,real_llm,The content appears to be a review and comparison ...,FLAGGED
vivre-de-son-site-internet.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
rafunagroup.com,1,0.70,real_llm,The webpage appears to be in a foreign language an...,FLAGGED
buzznews.ro,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
cmsprinkler.pl,1,0.60,real_llm,The content appears to be a Russian-language revie...,FLAGGED
dev107.developer24x7.com,1,0.60,real_llm,The content appears to be promoting SEO services a...,FLAGGED
qatarshares.com,1,0.60,real_llm,The content mentions Admiral Markets and provides ...,FLAGGED
fifin.com,1,0.70,real_llm,The content appears to be a Chinese-language webpa...,FLAGGED
bitfinanzas.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
urlumbrella.com,1,0.70,real_llm,The content appears to be a directory listing or a...,FLAGGED
antimmgp.ru,1,0.60,real_llm,The content appears to be a forum discussion about...,FLAGGED
styknews.info,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
mirevista.com,1,0.90,real_llm,The content appears to be an educational article d...,FLAGGED
couponmarathon.com,1,0.50,real_llm,The content does not appear to contain any overtly...,FLAGGED
forexsn.com,1,0.50,real_llm,The content appears to be a tutorial on using Meta...,FLAGGED
crypto-option.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
ea.waterforex.com,1,0.70,real_llm,The content appears to be promoting or providing i...,FLAGGED
broker-forex.fr,1,0.70,real_llm,The content appears to be an educational article a...,FLAGGED
platinumpolish.co.uk,1,0.60,real_llm,"The content mentions Admiral Markets, but in a con...",FLAGGED
maevemusic.app,1,0.50,real_llm,The webpage appears to be an error page with no re...,FLAGGED
4bg.info,1,0.60,real_llm,The content appears to be a directory listing with...,FLAGGED
web-zakaz.ru,1,0.60,real_llm,The content appears to be promoting a different co...,FLAGGED
capitalnewseg.com,1,0.60,real_llm,The content appears to be discussing Barclays Bank...,FLAGGED
belegger.informatiepage.nl,1,0.60,real_llm,The content mentions Admiral Markets in a list of ...,FLAGGED
beleggen.startwall.be,1,0.60,real_llm,The content appears to be a list of links related ...,FLAGGED
daytrader.linkexpert.eu,1,0.70,real_llm,The content appears to be a list of links related ...,FLAGGED
wfido.ru,1,0.60,real_llm,The content appears to be a link with a vague warn...,FLAGGED
xoloxx.org,1,0.60,real_llm,The content appears to be a review or comparison o...,FLAGGED
radiofree.org,1,0.60,real_llm,The content appears to be discussing financial der...,FLAGGED
mightynews.co.uk,1,0.60,real_llm,The content might be discussing or mentioning Admi...,FLAGGED
rawranked.com,1,0.50,real_llm,The content appears to be a brief mention of Admir...,FLAGGED
forexzig.com,1,0.60,real_llm,The content appears to be a blog post about automa...,FLAGGED
demo3.efesta.ru,1,0.60,real_llm,The content appears to be a Russian-language artic...,FLAGGED
traderviet.co,1,0.60,real_llm,The content appears to be from a Vietnamese forum ...,FLAGGED
xlmz.net,1,0.60,real_llm,The content appears to be a list of links to Flash...,FLAGGED
quadrat.ro,1,0.60,real_llm,The content appears to be promoting SEO services a...,FLAGGED
justgetblogging.com,1,0.60,real_llm,The content mentions Admiral Markets in a neutral ...,FLAGGED
marketinsightcanada.com,1,0.60,real_llm,The content appears to be a rating of Forex broker...,FLAGGED
tpfx.co.id,1,0.60,real_llm,"The content mentions Admiral Markets, but the cont...",FLAGGED
vip-doski.ru,1,0.60,real_llm,The content appears to be a Russian-language class...,FLAGGED
jazzscript.co.uk,1,0.90,unknown,The content appears to be promoting black SEO link...,FLAGGED
